Policy Document Name	Relevant Text or Description	Primary Reference Link
National regulations and policies	"National regulations and policies are those documents that govern the ways in which affected and non-affected States respond to a deliberate biological event. These regulations and policies may identify, for instance, the ways in which various national agencies would respond to an event."	National regulations and policies are State specific; no specific hyerlink is available.
Local regulations and policies	"Local regulations and policies are those documents that govern the ways in which affected cities and regions respond to a deliberate biological event. These regulations and policies may include the regulations and policies, of local NGOs and local governing bodies."	Local regulations and policies are region-specific; no specific hyerlink is available.
Organization-specific mandates	Local and international NGOs operate under a set of organization-specific mandates that describe their responsibilities and goals both during steady state operations and during event response 	Organization-specific mandates are unique for each stakeholder and organization; no specific hyerlink is available.
Pandemic Emergency Financing Framework (PEF)	"Operations of the PEF: in the event of an infectious disease outbreak, subject to other provisions of this PEF Framework, the PEF may provide funding to support response efforts in any PEF Eligible Country through: (a) the PEF Insurance Window; and/or (b) the PEF Cash Window"	http://www.worldbank.org/en/topic/pandemics/brief/pandemic-emergency-financing-facility
Cooperative Arrangement for the Prevention of Spread of Communicable Disease through Air Travel	"CAPSCA is ""A joint Air Navigation/Technical Cooperation Bureau project that improves preparedness planning and response to public health emergencies that affect the aviation sector, such as an influenza pandemic"""	http://www.capsca.org/Documentation/CAPSCAAsiaPacSCM01Conclusions.pdf
Milan Plan of Action	"The Milan Plan of Action recommended that the UN has an important role to play in promoting multilateral cooperation related to terrorism, international drug trafficking, and organized crime"	http://www.pgaction.org/pdf/Milan-Plan-of-Action.pdf
Convention to Establishing a Customs Co-operation Council (CCC)	"The goal of the CCC is ""to secure the highest degree of harmony and uniformity in their Customs systems and especially to study the problems inherent in the development and improvement of Customs technique and Customs legislation in connection therewith"""	http://www.wcoomd.org/en/about-us/legal-instruments/~/media/7E31EB9C9DC24D7984C217508F05D9E8.ashx
Chemical Weapons Convention (Articles IX-X)	"""The Chemical Weapons Convention aims to eliminate an entire category of weapons of mass destruction by prohibiting the development, production, acquisition, stockpiling, retention, transfer or use of chemical weapons by States Parties."""	https://www.opcw.org/chemical-weapons-convention/
UN General Assembly Resolution 55/283	UN General Assembly Resolution 55/283 describes the cooperation between the Organisation for the Prohibition of Chemical Weapons (OPCW) and United Nations Office for Disarmament Affairs (UNODA)	https://www.opcw.org/fileadmin/OPCW/LAO/a55r283.pdf
UN General Assembly Resolution 46/182	"Describes the role of the UN in ""processing requests from affected Member States for emergency assistance requiring a coordinated response"""	http://www.un.org/documents/ga/res/46/a46r182.htm
UN General Assembly Resolution 60/124	"Describes the role of the UN in ""strengthening the coordination of emergency humanitarian assistance of the United Nations"""	http://www.un.org/en/ga/search/view_doc.asp?symbol=A/RES/60/124
Memorandum of Understanding between UNSGM and WHO	"The UN Secretary General's Mechanism and the World Health Organization have a memorandum of understanding describing the ways in which the organizations would interact and collaborate in the event of an investigation into the alleged use of chemical, biological, or toxin weapons"	https://unoda-web.s3-accelerate.amazonaws.com/wp-content/uploads/assets/WMD/Secretary-General_Mechanism/UN_WHO_MOU_2011.pdf
Memorandum of Understanding between UNSGM and OIE	"The UN Secretary General's Mechanism and the World Organisation for Animal Health (OIE) have a memorandum of understanding describing the ways in which the organizations would interact and collaborate in the event of an investigation into the alleged use of chemical, biological, or toxin weapons"	http://www.oie.int/fileadmin/Home/eng/About_us/docs/pdf/accords/UNODA_ANG.pdf
UNIDIR Statute (39th session of the UNGA)	"The UNIDIR Statute, which describes the role of the United Nations Institute for Disarmament Research, was approved at the 39th session of the United Nations General Assembly, 102nd Plenary Meeting, 17 December 1984, and came into effect on 1 January 1985"	http://www.unidir.org/en/about/the-institute/statute
IASC Framework on Durable Solutions for Internally Displaced Persons	The Inter Agency Standing Committee developed an IOM Framework for addressing internal displacement which describes the necessary multilateral responses to internal displacement	http://www.unhcr.org/50f94cd49.pdf
Geneva Conventions of 1949	"The Geneva Conventions and their Additional Protocols are at the core of international humanitarian law, the body of international law that regulates the conduct of armed conflict and seeks to limit its effects."	https://ihl-databases.icrc.org/applic/ihl/ihl.nsf/INTRO/365?OpenDocument
IASC Framework on Infectious Diseases	The Inter Agency Standing Committee Framework on Infectious Disease identifies the ways in which WHO and UN OCHA would be involved in humanitarian response activities	https://interagencystandingcommittee.org/principals/documents-public/final-iasc-system-wide-level-3-l3-activation-procedures-infectious
WHO Emergency Response Framework	The WHO Emergency Response Framework (ERF) clarifies WHO's roles and responsibilities in emergency response and provides a common approach for its work in emergencies	http://www.who.int/hac/about/erf/en/
Core Commitments for Children in Humanitarian Action	UNICEF's primary policy for upholding the rights of children affected by humanitarian crises	http://www.unicefinemergencies.com/downloads/eresource/docs/1/2010-CCC-FinaI.pdf
UN Resolutions establishing and guiding UNICEF	UNICEF was established through six UN resolutions between the years 1946 and 1948 and at its core was established to benefit children and adolescents of countries that were victims of aggression during World War II.	https://www.unicef.org/about/history/files/UN_resolutions_UNICEF_1940s.pdf
UN General Assembly Resolution 802 (VIII)	This 1953 resolution extended UNICEF's mandate indefinitely.	http://www.un.org/en/ga/search/view_doc.asp?symbol=A/RES/802(VIII)
CTITF Interagency Coordination Report	"Identify existing individual and interagency mechanisms in the context of the preparedness for, prevention of, and response to terrorist attacks using chemical or biological weapons and materials"	http://www.un.org/en/terrorism/ctitf/pdfs/ctitf_wmd_working_group_report_interagency_2011.pdf
OCT Report Ensuring Effective Inter-Agency Interoperability and Coordinated Communication	"Aims to promote enhanced support to States, upon request, with their response efforts when local capacities are overwhelmed or when specialized expertise (C/BW protection, investigation, etc.) might be needed from different international agencies"	https://www.un.org/counterterrorism/ctitf/sites/www.un.org.counterterrorism.ctitf/files/UNCCT_CTITF_WMD_WG_Project_Publication_FINAL.PDF
World Health Assembly Resolution 55.16	"WHA Resolution 55.16 describes the role of WHO in managing ""public health consequences of an incident involving biological and chemical agents and radionuclear material, regardless of whether it is characterized as a natural occurrence, accidental release or a deliberate act"""	http://apps.who.int/gb/archive/pdf_files/WHA55/ewha5516.pdf?ua=1
IOM Constitution	"Provides a framework for the purposes, functions, legal status, finance, membership and other issues necessary for the functioning of the Organization"	https://www.iom.int/constitution-and-basic-texts-governing-bodies
UN General Assembly Resolution 40/32	UN General Assembly Resolution 40/32 emphasizes the importance of crime prevention and outlines the United Nations' role in criminal justice	http://www.un.org/documents/ga/res/40/a40r032.htm
